,iupac,smiles,expt,calc
161,"1,4-dimethylpiperazine",CN1CCN(CC1)C,-7.58,-7.874
43,"1,2,4-trichlorobenzene",c1cc(c(cc1Cl)Cl)Cl,-1.12,-0.117
323,4-hydroxybenzonitrile,c1cc(ccc1C#N)O,-10.17,-8.39
582,terbutryn,CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68,-9.271
155,propyl formate,CCCOC=O,-2.48,-3.699
503,pentylcyclopentane,CCCCCC1CCCC1,2.55,2.381
131,butanenitrile,CCCC#N,-3.64,-2.287
571,"2,4-dimethylphenol",Cc1ccc(c(c1)C)O,-6.01,-4.98
394,diflunisal,c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4,-6.613
494,octane,CCCCCCCC,2.88,3.088
221,2-methoxy-2-methyl-propane,CC(C)(C)OC,-2.21,-0.691
380,methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1,-3.3,-4.376
390,naphthalen-1-amine,c1ccc2c(c1)cccc2N,-7.28,-7.777
410,cyclopentanol,C1CCC(C1)O,-5.49,-4.29
481,pyridine-4-carbonitrile,c1cnccc1C#N,-6.02,-5.765
369,4-methylpyridine,Cc1ccncc1,-4.93,-3.343
512,3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-6.92,-5.771
641,"1,4-dioxane",C1COCCO1,-5.06,-4.269
80,acenaphthene,c1cc2cccc3c2c(c1)CC3,-3.15,-4.198
167,"1,1,2-trichloroethylene",C(=C(Cl)Cl)Cl,-0.44,0.818
95,methoxyethane,CCOC,-2.1,-0.71
224,"methyl 2,2,2-trifluoroacetate",COC(=O)C(F)(F)F,-1.1,-1.353
203,"2,6-dimethylnaphthalene",Cc1ccc2cc(ccc2c1)C,-2.63,-2.848
113,carbofuran,CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61,-11.126
489,"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,-0.922
212,5-iodouracil,c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72,-17.742
315,undecan-2-one,CCCCCCCCCC(=O)C,-2.15,-2.201
542,"2,2,5-trimethylhexane",CC(C)CCC(C)(C)C,2.93,2.97
586,hept-1-ene,CCCCCC=C,1.66,2.761
234,methylcyclopentane,CC1CCCC1,1.59,1.785
548,1-iodopropane,CCCI,-0.53,-0.443
543,2-butoxyethanol,CCCCOCCO,-6.25,-3.85
572,pentan-1-ol,CCCCCO,-4.57,-3.054
349,pyridine-4-carbaldehyde,c1cnccc1C=O,-7.0,-7.338
123,"1,1,2,3,3,3-hexafluoroprop-1-ene",C(=C(F)F)(C(F)(F)F)F,2.93,2.305
226,"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,-0.805
187,isopropyl acetate,CC(C)OC(=O)C,-2.64,-3.371
558,4-methyl-1H-imidazole,Cc1c[nH]cn1,-10.27,-8.205
3,2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809
320,4-propylguaiacol,CCCc1ccc(c(c1)OC)O,-5.26,-4.127
76,"cyclohepta-1,3,5-triene",C1C=CC=CC=C1,-0.99,-0.098
139,tetrahydropyran,C1CCOCC1,-3.12,-1.809
194,hex-1-ene,CCCCC=C,1.58,2.628
609,"2-amino-9,10-anthraquinone",c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53,-13.895
396,cyclohexanol,C1CCC(CC1)O,-5.46,-4.178
196,ethoxyethane,CCOCC,-1.59,-0.617
488,2-methylprop-1-ene,CC(=C)C,1.16,2.327
595,4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,-3.591
617,"2,2,2-trifluoroethanol",C(C(F)(F)F)O,-4.31,-3.809
365,dibenzo-p-dioxin,c1ccc2c(c1)Oc3ccccc3O2,-3.15,-4.9
177,1-chloro-2-methyl-benzene,Cc1ccccc1Cl,-1.14,-0.473
158,diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71,-8.683
608,2-chlorophenol,c1ccc(c(c1)O)Cl,-4.55,-3.317
419,4-methylbenzaldehyde,Cc1ccc(cc1)C=O,-4.27,-5.014
491,(2E)-hex-2-enal,CCC/C=C/C=O,-3.68,-3.123
436,3-nitrophenol,c1cc(cc(c1)O)[N+](=O)[O-],-9.62,-7.889
567,6-isopropyl-3-methyl-1-cyclohex-2-enone,CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51,-3.825
519,1-chlorohexane,CCCCCCCl,0.0,1.261
82,phenylmethanol,c1ccc(cc1)CO,-6.62,-5.133
117,4-methylmorpholine,CN1CCOCC1,-6.32,-5.774
