,iupac,smiles,expt,calc
1,methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219
8,"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685
14,benzenethiol,c1ccc(cc1)S,-2.55,-1.501
16,indane,c1ccc2c(c1)CCC2,-1.46,-1.752
19,"2,2-dimethylpentane",CCCC(C)(C)C,2.88,2.686
21,ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,-10.644
22,cycloheptanol,C1CCCC(CC1)O,-5.48,-4.345
23,methyl cyclopropanecarboxylate,COC(=O)C1CC1,-4.1,-3.604
24,benzonitrile,c1ccc(cc1)C#N,-4.1,-3.238
27,"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74,-2.629
29,"N,N-dimethylformamide",CN(C)C=O,-7.81,-6.932
33,"N,N-dimethylbenzamide",CN(C)C(=O)c1ccccc1,-9.29,-8.113
39,nonane,CCCCCCCCC,3.13,3.221
47,azetidine,C1CNC1,-5.56,-3.861
49,aniline,c1ccc(cc1)N,-5.49,-5.543
50,tetrafluoromethane,C(F)(F)(F)F,3.12,2.489
61,ammonia,N,-4.29,-4.018
77,"9,10-dihydroanthracene",c1ccc2c(c1)Cc3ccccc3C2,-3.78,-4.304
78,"1,1-dichloroethane",CC(Cl)Cl,-0.84,0.187
83,5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17,-17.298
88,heptane,CCCCCCC,2.67,2.925
91,bromacil,CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73,-14.496
93,"N,N-dipropyl(propylsulfanyl)formamide",CCCN(CCC)C(=O)SCCC,-4.13,-4.569
112,heptan-2-one,CCCCCC(=O)C,-3.04,-2.945
124,4-chlorophenol,c1cc(ccc1O)Cl,-7.03,-5.373
125,piperidine,C1CCNCC1,-5.11,-3.873
128,"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,-5.98
129,"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78,1.024
130,n-pentane,CCCCC,2.3,2.673
132,"2-bromo-1,1,1,2-tetrafluoro-ethane",[C@@H](C(F)(F)F)(F)Br,0.5,0.234
134,[(2S)-butan-2-yl] nitrate,CC[C@H](C)O[N+](=O)[O-],-1.82,-1.864
141,"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,-0.822
143,2-methylpropan-1-ol,CC(C)CO,-4.5,-3.13
150,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68,-0.456
157,hexanoic acid,CCCCCC(=O)O,-6.21,-7.878
159,"2,4-dimethylpyridine",Cc1ccnc(c1)C,-4.86,-3.282
160,cyclohexene,C1CCC=CC1,0.14,1.175
164,methyl 2-chloroacetate,COC(=O)CCl,-4.0,-3.816
169,"1,2,3,4,7-pentachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15,-2.31
171,cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06,-21.762
182,2-methoxypropane,CC(C)OC,-2.01,-0.657
188,benzene,c1ccccc1,-0.9,-0.806
190,4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5,-7.024
197,"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",CCNc1nc(nc(n1)SC)NC(C)C,-7.65,-10.552
202,bromoethane,CCBr,-0.74,0.487
206,1-methylcyclohexene,CC1=CCCCC1,0.67,1.338
211,phenyl formate,c1ccc(cc1)OC=O,-3.82,-5.442
214,"1,1,1-trifluoro-2,2,2-trimethoxyethane",COC(C(F)(F)F)(OC)OC,-0.8,-2.319
215,"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,-14.148
218,fluorobenzene,c1ccc(cc1)F,-0.8,-0.041
219,ethyl acetate,CCOC(=O)C,-2.94,-3.745
231,N-isopropylpropan-2-amine,CC(C)NC(C)C,-3.22,-1.985
233,heptan-1-amine,CCCCCCCN,-3.79,-2.554
236,2-methyltetrahydrofuran,C[C@H]1CCCO1,-3.3,-1.984
241,"methyl 2,2-dimethylpropanoate",CC(C)(C)C(=O)OC,-2.4,-3.304
243,sulfolane,C1CC[S+2](C1)([O-])[O-],-8.61,-9.624
263,decane,CCCCCCCCCC,3.16,3.335
266,3-methyl-1H-indole,Cc1c[nH]c2c1cccc2,-5.88,-8.161
268,cyclohexane,C1CCCCC1,1.23,1.503
272,3-methylbutan-2-one,CC(C)C(=O)C,-3.24,-3.078
278,chloro-difluoro-methane,C(F)(F)Cl,-0.5,-0.067
279,methyl 4-nitrobenzoate,COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88,-6.588
286,methane,C,2.0,2.446
287,benzyl chloride,c1ccc(cc1)CCl,-1.93,-1.742
